================================================================================
 MOTION PREDICTION V8 ??TEMPORAL GRU + TRAJ REFINER + LATE-HORIZON LOSS
 Data Root:       E:\motion_planning\data\processed\prediction_pt_85k
 Output Dir:      .\checkpoints\v8_hardcls
 Resume Checkpoint: .\checkpoints\v6_temporal\best_error_score.pth
 Epochs:          20 (Batch: 32, LR: 0.0001)
 Neighbors/Map:   16 hist / 64 map pts
 Loss extras:     time_weight_end=2.5, weight_fde=0.75, cls=0.8, hard_cls=0.5
 aWTA:            tau 0.5->0.25, Top-2->1
 Workers/Prefetch: 8/4
 AMP:             bf16 (torch.bfloat16)
 Compute Device:  cuda (NVIDIA GeForce RTX 5080)
================================================================================
-> Detected 1 window(s) per pack
-> Train Scenes: 229653 | Val Scenes: 25725 | Train windows: 229653 | Val windows: 25725
-> Model params: 1.514M
-> Loading compatible weights from: .\checkpoints\v6_temporal\best_error_score.pth
-> Loaded 50/50 tensors (new layers stay random/zero)
-> Optimizer: AdamW fused=True
 [Epoch 01/20] Step [00050/7177] | Loss: 19.7332 | minADE6: 0.779m | minADE1: 1.428m | 2.9 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [00100/7177] | Loss: 19.6111 | minADE6: 0.805m | minADE1: 1.480m | 9.0 steps/s | GPU -1% 100MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [00150/7177] | Loss: 19.3974 | minADE6: 0.794m | minADE1: 1.468m | 9.3 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [00200/7177] | Loss: 19.8853 | minADE6: 0.818m | minADE1: 1.511m | 9.2 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [00400/7177] | Loss: 21.1223 | minADE6: 0.817m | minADE1: 1.507m | 9.2 steps/s | GPU -1% 100MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [00600/7177] | Loss: 20.4594 | minADE6: 0.812m | minADE1: 1.506m | 9.4 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [00800/7177] | Loss: 20.0221 | minADE6: 0.822m | minADE1: 1.491m | 9.0 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [01000/7177] | Loss: 20.3297 | minADE6: 0.815m | minADE1: 1.490m | 8.9 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [01200/7177] | Loss: 20.5202 | minADE6: 0.813m | minADE1: 1.485m | 8.9 steps/s | GPU -1% 100MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [01400/7177] | Loss: 21.0435 | minADE6: 0.817m | minADE1: 1.483m | 8.7 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [01600/7177] | Loss: 20.4719 | minADE6: 0.824m | minADE1: 1.498m | 8.9 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [01800/7177] | Loss: 20.0867 | minADE6: 0.818m | minADE1: 1.476m | 9.7 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [02000/7177] | Loss: 21.1241 | minADE6: 0.811m | minADE1: 1.455m | 9.8 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [02200/7177] | Loss: 20.8071 | minADE6: 0.817m | minADE1: 1.488m | 10.0 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [02400/7177] | Loss: 20.2997 | minADE6: 0.822m | minADE1: 1.488m | 9.9 steps/s | GPU -1% 103MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [02600/7177] | Loss: 21.1041 | minADE6: 0.815m | minADE1: 1.476m | 10.2 steps/s | GPU -1% 100MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [02800/7177] | Loss: 18.6241 | minADE6: 0.812m | minADE1: 1.490m | 10.2 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [03000/7177] | Loss: 20.5313 | minADE6: 0.818m | minADE1: 1.488m | 10.2 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [03200/7177] | Loss: 21.0815 | minADE6: 0.805m | minADE1: 1.473m | 10.4 steps/s | GPU -1% 103MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [03400/7177] | Loss: 20.2031 | minADE6: 0.813m | minADE1: 1.498m | 10.3 steps/s | GPU -1% 101MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [03600/7177] | Loss: 19.1319 | minADE6: 0.804m | minADE1: 1.454m | 10.1 steps/s | GPU -1% 103MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [03800/7177] | Loss: 19.8938 | minADE6: 0.825m | minADE1: 1.521m | 10.4 steps/s | GPU -1% 100MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [04000/7177] | Loss: 19.9314 | minADE6: 0.810m | minADE1: 1.478m | 10.4 steps/s | GPU -1% 102MB -1W | tau: 0.50, Top-2
 [Epoch 01/20] Step [04200/7177] | Loss: 20.4412 | minADE6: 0.808m | minADE1: 1.476m | 10.3 steps/s | GPU -1% 103MB -1W | tau: 0.50, Top-2
